Year,County,Strata_Name,Cause_Desc,Count
2018,San Diego,Male,Chronic liver disease and cirrhosis,230
2018,San Diego,Male,Chronic lower respiratory diseases,472
2018,San Diego,Male,Diabetes mellitus,462
2018,San Diego,Male,Diseases of heart,2779
2018,San Diego,Male,Essential hypertension and hypertensive renal disease,203
2018,San Diego,Male,Influenza and pneumonia,243
2018,San Diego,Male,Intentional self-harm (suicide),373
2018,San Diego,Male,Malignant neoplasms,2767
2018,San Diego,Male,"Nephritis, nephrotic syndrome and nephrosis",51
2018,San Diego,Male,Parkinson's disease,244
2019,San Diego,Female,Accidents (unintentional injuries),456
2019,San Diego,Female,Alzheimer's disease,1018
2019,San Diego,Female,Assault (homicide),28
2019,San Diego,Female,Cerebrovascular diseases,970
2019,San Diego,Female,Chronic liver disease and cirrhosis,133
2019,San Diego,Female,Chronic lower respiratory diseases,551
2019,San Diego,Female,Diabetes mellitus,332
2019,San Diego,Female,Diseases of heart,2159
2019,San Diego,Female,Essential hypertension and hypertensive renal disease,250
2019,San Diego,Female,Influenza and pneumonia,132
2019,San Diego,Female,Intentional self-harm (suicide),89
2019,San Diego,Female,Malignant neoplasms,2461
2019,San Diego,Female,"Nephritis, nephrotic syndrome and nephrosis",58
2019,San Diego,Female,Parkinson's disease,147
2019,San Diego,Male,Accidents (unintentional injuries),951
2019,San Diego,Male,Alzheimer's disease,540
2019,San Diego,Male,Assault (homicide),72
2019,San Diego,Male,Cerebrovascular diseases,717
2019,San Diego,Male,Chronic liver disease and cirrhosis,245
2019,San Diego,Male,Chronic lower respiratory diseases,489
2019,San Diego,Male,Diabetes mellitus,460
2019,San Diego,Male,Diseases of heart,2733
2019,San Diego,Male,Essential hypertension and hypertensive renal disease,190
2019,San Diego,Male,Influenza and pneumonia,172
2019,San Diego,Male,Intentional self-harm (suicide),346
2019,San Diego,Male,Malignant neoplasms,2798
2019,San Diego,Male,"Nephritis, nephrotic syndrome and nephrosis",80
2019,San Diego,Male,Parkinson's disease,238
