,Year,Strata,Strata_Name,Cause_Desc,Count
40,2014,Place Type,Emergency Room/Outpatient,All causes (total),15338
41,2014,Place Type,Hospice Facility,All causes (total),4346
42,2014,Place Type,Inpatient,All causes (total),76346
43,2014,Place Type,Nursing Home/Long Term Care Facility,All causes (total),43904
44,2014,Place Type,Other/Unknown,All causes (total),18013
45,2014,Race-Ethnicity,American Indian/Alaskan Native,Accidents (unintentional injuries),12
46,2014,Race-Ethnicity,American Indian/Alaskan Native,Alzheimer's disease,0
47,2014,Race-Ethnicity,American Indian/Alaskan Native,Assault (homicide),0
48,2014,Race-Ethnicity,American Indian/Alaskan Native,Cerebrovascular diseases,0
49,2014,Race-Ethnicity,American Indian/Alaskan Native,Chronic liver disease and cirrhosis,0
50,2014,Race-Ethnicity,American Indian/Alaskan Native,Chronic lower respiratory diseases,0
51,2014,Race-Ethnicity,American Indian/Alaskan Native,Diabetes mellitus,0
52,2014,Race-Ethnicity,American Indian/Alaskan Native,Diseases of heart,96
53,2014,Race-Ethnicity,American Indian/Alaskan Native,Essential hypertension and hypertensive renal disease,0
54,2014,Race-Ethnicity,American Indian/Alaskan Native,Influenza and pneumonia,0
55,2014,Race-Ethnicity,American Indian/Alaskan Native,Intentional self-harm (suicide),0
56,2014,Race-Ethnicity,American Indian/Alaskan Native,Malignant neoplasms,69
57,2014,Race-Ethnicity,American Indian/Alaskan Native,"Nephritis, nephrotic syndrome and nephrosis",0
58,2014,Race-Ethnicity,American Indian/Alaskan Native,Parkinson's disease,0
59,2014,Race-Ethnicity,Asian,Accidents (unintentional injuries),655
60,2014,Race-Ethnicity,Asian,Alzheimer's disease,799
61,2014,Race-Ethnicity,Asian,Assault (homicide),13
62,2014,Race-Ethnicity,Asian,Cerebrovascular diseases,1657
63,2014,Race-Ethnicity,Asian,Chronic liver disease and cirrhosis,111
64,2014,Race-Ethnicity,Asian,Chronic lower respiratory diseases,721
65,2014,Race-Ethnicity,Asian,Diabetes mellitus,919
66,2014,Race-Ethnicity,Asian,Diseases of heart,4874
67,2014,Race-Ethnicity,Asian,Essential hypertension and hypertensive renal disease,455
68,2014,Race-Ethnicity,Asian,Influenza and pneumonia,740
69,2014,Race-Ethnicity,Asian,Intentional self-harm (suicide),268
70,2014,Race-Ethnicity,Asian,Malignant neoplasms,6203
71,2014,Race-Ethnicity,Asian,"Nephritis, nephrotic syndrome and nephrosis",287
72,2014,Race-Ethnicity,Asian,Parkinson's disease,152
73,2014,Race-Ethnicity,Black,Accidents (unintentional injuries),820
74,2014,Race-Ethnicity,Black,Alzheimer's disease,585
75,2014,Race-Ethnicity,Black,Assault (homicide),468
76,2014,Race-Ethnicity,Black,Cerebrovascular diseases,964
77,2014,Race-Ethnicity,Black,Chronic liver disease and cirrhosis,200
78,2014,Race-Ethnicity,Black,Chronic lower respiratory diseases,703
79,2014,Race-Ethnicity,Black,Diabetes mellitus,842
80,2014,Race-Ethnicity,Black,Diseases of heart,4592
81,2014,Race-Ethnicity,Black,Essential hypertension and hypertensive renal disease,379
82,2014,Race-Ethnicity,Black,Influenza and pneumonia,314
83,2014,Race-Ethnicity,Black,Intentional self-harm (suicide),73
84,2014,Race-Ethnicity,Black,Malignant neoplasms,4164
85,2014,Race-Ethnicity,Black,"Nephritis, nephrotic syndrome and nephrosis",262
86,2014,Race-Ethnicity,Black,Parkinson's disease,35
87,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Accidents (unintentional injuries),0
88,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Alzheimer's disease,0
89,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Assault (homicide),0
90,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Cerebrovascular diseases,0
91,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Chronic liver disease and cirrhosis,0
92,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Chronic lower respiratory diseases,0
93,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Diabetes mellitus,13
94,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Diseases of heart,136
95,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Essential hypertension and hypertensive renal disease,0
96,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Influenza and pneumonia,0
97,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Intentional self-harm (suicide),0
98,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Malignant neoplasms,155
99,2014,Race-Ethnicity,Hawaiian/Pacific Islander,"Nephritis, nephrotic syndrome and nephrosis",0
100,2014,Race-Ethnicity,Hawaiian/Pacific Islander,Parkinson's disease,0
101,2014,Race-Ethnicity,Hispanic,Accidents (unintentional injuries),2858
102,2014,Race-Ethnicity,Hispanic,Alzheimer's disease,1437
103,2014,Race-Ethnicity,Hispanic,Assault (homicide),680
104,2014,Race-Ethnicity,Hispanic,Cerebrovascular diseases,2389
105,2014,Race-Ethnicity,Hispanic,Chronic liver disease and cirrhosis,1733
106,2014,Race-Ethnicity,Hispanic,Chronic lower respiratory diseases,1046
107,2014,Race-Ethnicity,Hispanic,Diabetes mellitus,2248
108,2014,Race-Ethnicity,Hispanic,Diseases of heart,8756
109,2014,Race-Ethnicity,Hispanic,Essential hypertension and hypertensive renal disease,684
110,2014,Race-Ethnicity,Hispanic,Influenza and pneumonia,1072
111,2014,Race-Ethnicity,Hispanic,Intentional self-harm (suicide),643
112,2014,Race-Ethnicity,Hispanic,Malignant neoplasms,10174
113,2014,Race-Ethnicity,Hispanic,"Nephritis, nephrotic syndrome and nephrosis",648
114,2014,Race-Ethnicity,Hispanic,Parkinson's disease,234
115,2014,Race-Ethnicity,Multi-Race,Accidents (unintentional injuries),97
116,2014,Race-Ethnicity,Multi-Race,Alzheimer's disease,0
117,2014,Race-Ethnicity,Multi-Race,Assault (homicide),0
118,2014,Race-Ethnicity,Multi-Race,Cerebrovascular diseases,18
119,2014,Race-Ethnicity,Multi-Race,Chronic liver disease and cirrhosis,0
120,2014,Race-Ethnicity,Multi-Race,Chronic lower respiratory diseases,25
121,2014,Race-Ethnicity,Multi-Race,Diabetes mellitus,12
122,2014,Race-Ethnicity,Multi-Race,Diseases of heart,303
123,2014,Race-Ethnicity,Multi-Race,Essential hypertension and hypertensive renal disease,0
124,2014,Race-Ethnicity,Multi-Race,Influenza and pneumonia,12
125,2014,Race-Ethnicity,Multi-Race,Intentional self-harm (suicide),0
126,2014,Race-Ethnicity,Multi-Race,Malignant neoplasms,367
127,2014,Race-Ethnicity,Multi-Race,"Nephritis, nephrotic syndrome and nephrosis",0
128,2014,Race-Ethnicity,Multi-Race,Parkinson's disease,0
129,2014,Race-Ethnicity,Other/Unknown,Accidents (unintentional injuries),0
130,2014,Race-Ethnicity,Other/Unknown,Alzheimer's disease,0
131,2014,Race-Ethnicity,Other/Unknown,Assault (homicide),0
132,2014,Race-Ethnicity,Other/Unknown,Cerebrovascular diseases,0
133,2014,Race-Ethnicity,Other/Unknown,Chronic liver disease and cirrhosis,0
134,2014,Race-Ethnicity,Other/Unknown,Chronic lower respiratory diseases,0
135,2014,Race-Ethnicity,Other/Unknown,Diabetes mellitus,0
136,2014,Race-Ethnicity,Other/Unknown,Diseases of heart,95
137,2014,Race-Ethnicity,Other/Unknown,Essential hypertension and hypertensive renal disease,0
138,2014,Race-Ethnicity,Other/Unknown,Influenza and pneumonia,12
139,2014,Race-Ethnicity,Other/Unknown,Intentional self-harm (suicide),0
140,2014,Race-Ethnicity,Other/Unknown,Malignant neoplasms,92
141,2014,Race-Ethnicity,Other/Unknown,"Nephritis, nephrotic syndrome and nephrosis",0
142,2014,Race-Ethnicity,Other/Unknown,Parkinson's disease,0
143,2014,Race-Ethnicity,White,Accidents (unintentional injuries),6803
144,2014,Race-Ethnicity,White,Alzheimer's disease,9270
145,2014,Race-Ethnicity,White,Assault (homicide),292
146,2014,Race-Ethnicity,White,Cerebrovascular diseases,7940
147,2014,Race-Ethnicity,White,Chronic liver disease and cirrhosis,2385
148,2014,Race-Ethnicity,White,Chronic lower respiratory diseases,9374
149,2014,Race-Ethnicity,White,Diabetes mellitus,3623
150,2014,Race-Ethnicity,White,Diseases of heart,38826
151,2014,Race-Ethnicity,White,Essential hypertension and hypertensive renal disease,2608
152,2014,Race-Ethnicity,White,Influenza and pneumonia,3379
153,2014,Race-Ethnicity,White,Intentional self-harm (suicide),2700
154,2014,Race-Ethnicity,White,Malignant neoplasms,36711
155,2014,Race-Ethnicity,White,"Nephritis, nephrotic syndrome and nephrosis",1379
156,2014,Race-Ethnicity,White,Parkinson's disease,1691
157,2014,Total Population,Total Population,Accidents (unintentional injuries),11915
158,2014,Total Population,Total Population,Alzheimer's disease,12626
159,2014,Total Population,Total Population,Assault (homicide),1701
160,2014,Total Population,Total Population,Cerebrovascular diseases,13728
161,2014,Total Population,Total Population,Chronic liver disease and cirrhosis,4972
162,2014,Total Population,Total Population,Chronic lower respiratory diseases,12772
163,2014,Total Population,Total Population,Diabetes mellitus,8183
164,2014,Total Population,Total Population,Diseases of heart,58395
165,2014,Total Population,Total Population,Essential hypertension and hypertensive renal disease,4497
166,2014,Total Population,Total Population,Influenza and pneumonia,5923
167,2014,Total Population,Total Population,Intentional self-harm (suicide),4208
168,2014,Total Population,Total Population,Malignant neoplasms,58726
169,2014,Total Population,Total Population,"Nephritis, nephrotic syndrome and nephrosis",3030
170,2014,Total Population,Total Population,Parkinson's disease,2570
171,2015,Age,1-4 years,All causes (total),267
172,2015,Age,15-24 years,All causes (total),2980
173,2015,Age,25-34 years,All causes (total),4811
174,2015,Age,35-44 years,All causes (total),6986
175,2015,Age,45-54 years,All causes (total),16610
176,2015,Age,5-14 years,All causes (total),352
177,2015,Age,55-64 years,All causes (total),33591
178,2015,Age,65-74 years,All causes (total),44938
179,2015,Age,75-84 years,All causes (total),58832
180,2015,Age,85 years and over,All causes (total),88016
181,2015,Age,Under 1 year,All causes (total),2080
182,2015,Gender,Female,Accidents (unintentional injuries),4243
183,2015,Gender,Female,Alzheimer's disease,10136
184,2015,Gender,Female,Assault (homicide),232
185,2015,Gender,Female,Cerebrovascular diseases,8609
186,2015,Gender,Female,Chronic liver disease and cirrhosis,1852
187,2015,Gender,Female,Chronic lower respiratory diseases,7229
188,2015,Gender,Female,Diabetes mellitus,3903
189,2015,Gender,Female,Diseases of heart,28426
190,2015,Gender,Female,Essential hypertension and hypertensive renal disease,2745
191,2015,Gender,Female,Influenza and pneumonia,3089
192,2015,Gender,Female,Intentional self-harm (suicide),926
193,2015,Gender,Female,Malignant neoplasms,28764
194,2015,Gender,Female,"Nephritis, nephrotic syndrome and nephrosis",1622
195,2015,Gender,Female,Parkinson's disease,1056
196,2015,Gender,Male,Accidents (unintentional injuries),8448
197,2015,Gender,Male,Alzheimer's disease,4735
198,2015,Gender,Male,Assault (homicide),1142
199,2015,Gender,Male,Cerebrovascular diseases,6322
200,2015,Gender,Male,Chronic liver disease and cirrhosis,3386
201,2015,Gender,Male,Chronic lower respiratory diseases,6321
202,2015,Gender,Male,Diabetes mellitus,4751
203,2015,Gender,Male,Diseases of heart,33164
204,2015,Gender,Male,Essential hypertension and hypertensive renal disease,2167
205,2015,Gender,Male,Influenza and pneumonia,2913
206,2015,Gender,Male,Intentional self-harm (suicide),2841
207,2015,Gender,Male,Malignant neoplasms,31084
208,2015,Gender,Male,"Nephritis, nephrotic syndrome and nephrosis",1718
209,2015,Gender,Male,Parkinson's disease,1546
210,2015,Place Type,Decedent's Home,All causes (total),91940
211,2015,Place Type,Emergency Room/Outpatient,All causes (total),15718
212,2015,Place Type,Hospice Facility,All causes (total),4548
213,2015,Place Type,Inpatient,All causes (total),81400
214,2015,Place Type,Nursing Home/Long Term Care Facility,All causes (total),44358
215,2015,Place Type,Other/Unknown,All causes (total),20982
216,2015,Race-Ethnicity,American Indian/Alaskan Native,Accidents (unintentional injuries),0
217,2015,Race-Ethnicity,American Indian/Alaskan Native,Alzheimer's disease,0
218,2015,Race-Ethnicity,American Indian/Alaskan Native,Assault (homicide),0
219,2015,Race-Ethnicity,American Indian/Alaskan Native,Cerebrovascular diseases,0
220,2015,Race-Ethnicity,American Indian/Alaskan Native,Chronic liver disease and cirrhosis,0
221,2015,Race-Ethnicity,American Indian/Alaskan Native,Chronic lower respiratory diseases,0
222,2015,Race-Ethnicity,American Indian/Alaskan Native,Diabetes mellitus,11
223,2015,Race-Ethnicity,American Indian/Alaskan Native,Diseases of heart,119
224,2015,Race-Ethnicity,American Indian/Alaskan Native,Essential hypertension and hypertensive renal disease,0
225,2015,Race-Ethnicity,American Indian/Alaskan Native,Influenza and pneumonia,0
226,2015,Race-Ethnicity,American Indian/Alaskan Native,Intentional self-harm (suicide),0
227,2015,Race-Ethnicity,American Indian/Alaskan Native,Malignant neoplasms,118
228,2015,Race-Ethnicity,American Indian/Alaskan Native,"Nephritis, nephrotic syndrome and nephrosis",0
229,2015,Race-Ethnicity,American Indian/Alaskan Native,Parkinson's disease,0
230,2015,Race-Ethnicity,Asian,Accidents (unintentional injuries),797
231,2015,Race-Ethnicity,Asian,Alzheimer's disease,958
232,2015,Race-Ethnicity,Asian,Assault (homicide),20
233,2015,Race-Ethnicity,Asian,Cerebrovascular diseases,1873
234,2015,Race-Ethnicity,Asian,Chronic liver disease and cirrhosis,149
235,2015,Race-Ethnicity,Asian,Chronic lower respiratory diseases,798
236,2015,Race-Ethnicity,Asian,Diabetes mellitus,1021
237,2015,Race-Ethnicity,Asian,Diseases of heart,5175
238,2015,Race-Ethnicity,Asian,Essential hypertension and hypertensive renal disease,568
239,2015,Race-Ethnicity,Asian,Influenza and pneumonia,883
240,2015,Race-Ethnicity,Asian,Intentional self-harm (suicide),283
241,2015,Race-Ethnicity,Asian,Malignant neoplasms,6646
242,2015,Race-Ethnicity,Asian,"Nephritis, nephrotic syndrome and nephrosis",348
243,2015,Race-Ethnicity,Asian,Parkinson's disease,251
244,2015,Race-Ethnicity,Black,Accidents (unintentional injuries),888
245,2015,Race-Ethnicity,Black,Alzheimer's disease,694
246,2015,Race-Ethnicity,Black,Assault (homicide),504
247,2015,Race-Ethnicity,Black,Cerebrovascular diseases,1065
248,2015,Race-Ethnicity,Black,Chronic liver disease and cirrhosis,239
249,2015,Race-Ethnicity,Black,Chronic lower respiratory diseases,802
250,2015,Race-Ethnicity,Black,Diabetes mellitus,936
251,2015,Race-Ethnicity,Black,Diseases of heart,4728
252,2015,Race-Ethnicity,Black,Essential hypertension and hypertensive renal disease,485
253,2015,Race-Ethnicity,Black,Influenza and pneumonia,303
254,2015,Race-Ethnicity,Black,Intentional self-harm (suicide),96
255,2015,Race-Ethnicity,Black,Malignant neoplasms,4296
256,2015,Race-Ethnicity,Black,"Nephritis, nephrotic syndrome and nephrosis",345
257,2015,Race-Ethnicity,Black,Parkinson's disease,12
258,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Accidents (unintentional injuries),0
259,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Alzheimer's disease,0
260,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Assault (homicide),0
261,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Cerebrovascular diseases,0
262,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Chronic liver disease and cirrhosis,0
263,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Chronic lower respiratory diseases,0
264,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Diabetes mellitus,11
265,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Diseases of heart,174
266,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Essential hypertension and hypertensive renal disease,0
267,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Influenza and pneumonia,0
268,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Intentional self-harm (suicide),0
269,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Malignant neoplasms,175
270,2015,Race-Ethnicity,Hawaiian/Pacific Islander,"Nephritis, nephrotic syndrome and nephrosis",0
271,2015,Race-Ethnicity,Hawaiian/Pacific Islander,Parkinson's disease,0
272,2015,Race-Ethnicity,Hispanic,Accidents (unintentional injuries),3191
273,2015,Race-Ethnicity,Hispanic,Alzheimer's disease,1926
274,2015,Race-Ethnicity,Hispanic,Assault (homicide),827
275,2015,Race-Ethnicity,Hispanic,Cerebrovascular diseases,2680
276,2015,Race-Ethnicity,Hispanic,Chronic liver disease and cirrhosis,1920
277,2015,Race-Ethnicity,Hispanic,Chronic lower respiratory diseases,1195
278,2015,Race-Ethnicity,Hispanic,Diabetes mellitus,2461
279,2015,Race-Ethnicity,Hispanic,Diseases of heart,9425
280,2015,Race-Ethnicity,Hispanic,Essential hypertension and hypertensive renal disease,862
281,2015,Race-Ethnicity,Hispanic,Influenza and pneumonia,1003
282,2015,Race-Ethnicity,Hispanic,Intentional self-harm (suicide),630
283,2015,Race-Ethnicity,Hispanic,Malignant neoplasms,10625
284,2015,Race-Ethnicity,Hispanic,"Nephritis, nephrotic syndrome and nephrosis",681
285,2015,Race-Ethnicity,Hispanic,Parkinson's disease,270
286,2015,Race-Ethnicity,Multi-Race,Accidents (unintentional injuries),93
287,2015,Race-Ethnicity,Multi-Race,Alzheimer's disease,19
288,2015,Race-Ethnicity,Multi-Race,Assault (homicide),0
289,2015,Race-Ethnicity,Multi-Race,Cerebrovascular diseases,17
290,2015,Race-Ethnicity,Multi-Race,Chronic liver disease and cirrhosis,0
291,2015,Race-Ethnicity,Multi-Race,Chronic lower respiratory diseases,30
292,2015,Race-Ethnicity,Multi-Race,Diabetes mellitus,16
293,2015,Race-Ethnicity,Multi-Race,Diseases of heart,362
294,2015,Race-Ethnicity,Multi-Race,Essential hypertension and hypertensive renal disease,12
295,2015,Race-Ethnicity,Multi-Race,Influenza and pneumonia,0
296,2015,Race-Ethnicity,Multi-Race,Intentional self-harm (suicide),0
297,2015,Race-Ethnicity,Multi-Race,Malignant neoplasms,403
298,2015,Race-Ethnicity,Multi-Race,"Nephritis, nephrotic syndrome and nephrosis",0
299,2015,Race-Ethnicity,Multi-Race,Parkinson's disease,0
300,2015,Race-Ethnicity,Other/Unknown,Accidents (unintentional injuries),0
301,2015,Race-Ethnicity,Other/Unknown,Alzheimer's disease,0
302,2015,Race-Ethnicity,Other/Unknown,Assault (homicide),0
303,2015,Race-Ethnicity,Other/Unknown,Cerebrovascular diseases,17
304,2015,Race-Ethnicity,Other/Unknown,Chronic liver disease and cirrhosis,0
305,2015,Race-Ethnicity,Other/Unknown,Chronic lower respiratory diseases,35
306,2015,Race-Ethnicity,Other/Unknown,Diabetes mellitus,11
307,2015,Race-Ethnicity,Other/Unknown,Diseases of heart,95
308,2015,Race-Ethnicity,Other/Unknown,Essential hypertension and hypertensive renal disease,0
309,2015,Race-Ethnicity,Other/Unknown,Influenza and pneumonia,15
310,2015,Race-Ethnicity,Other/Unknown,Intentional self-harm (suicide),0
311,2015,Race-Ethnicity,Other/Unknown,Malignant neoplasms,74
312,2015,Race-Ethnicity,Other/Unknown,"Nephritis, nephrotic syndrome and nephrosis",0
313,2015,Race-Ethnicity,Other/Unknown,Parkinson's disease,0
314,2015,Race-Ethnicity,White,Accidents (unintentional injuries),7273
315,2015,Race-Ethnicity,White,Alzheimer's disease,10743
316,2015,Race-Ethnicity,White,Assault (homicide),288
317,2015,Race-Ethnicity,White,Cerebrovascular diseases,8798
318,2015,Race-Ethnicity,White,Chronic liver disease and cirrhosis,2521
319,2015,Race-Ethnicity,White,Chronic lower respiratory diseases,10173
320,2015,Race-Ethnicity,White,Diabetes mellitus,3851
321,2015,Race-Ethnicity,White,Diseases of heart,40741
322,2015,Race-Ethnicity,White,Essential hypertension and hypertensive renal disease,2794
323,2015,Race-Ethnicity,White,Influenza and pneumonia,3333
324,2015,Race-Ethnicity,White,Intentional self-harm (suicide),2534
325,2015,Race-Ethnicity,White,Malignant neoplasms,36747
326,2015,Race-Ethnicity,White,"Nephritis, nephrotic syndrome and nephrosis",1624
327,2015,Race-Ethnicity,White,Parkinson's disease,1912
328,2015,Total Population,Total Population,Accidents (unintentional injuries),12941
329,2015,Total Population,Total Population,Alzheimer's disease,15049
330,2015,Total Population,Total Population,Assault (homicide),1910
331,2015,Total Population,Total Population,Cerebrovascular diseases,15039
332,2015,Total Population,Total Population,Chronic liver disease and cirrhosis,5413
333,2015,Total Population,Total Population,Chronic lower respiratory diseases,13614
334,2015,Total Population,Total Population,Diabetes mellitus,8794
335,2015,Total Population,Total Population,Diseases of heart,61675
336,2015,Total Population,Total Population,Essential hypertension and hypertensive renal disease,5048
337,2015,Total Population,Total Population,Influenza and pneumonia,6137
338,2015,Total Population,Total Population,Intentional self-harm (suicide),4159
339,2015,Total Population,Total Population,Malignant neoplasms,59895
340,2015,Total Population,Total Population,"Nephritis, nephrotic syndrome and nephrosis",3475
341,2015,Total Population,Total Population,Parkinson's disease,2830
342,2016,Age,1-4 years,All causes (total),304
343,2016,Age,15-24 years,All causes (total),3084
344,2016,Age,25-34 years,All causes (total),5188
345,2016,Age,35-44 years,All causes (total),7019
346,2016,Age,45-54 years,All causes (total),16475
347,2016,Age,5-14 years,All causes (total),411
348,2016,Age,55-64 years,All causes (total),34388
349,2016,Age,65-74 years,All causes (total),46012
350,2016,Age,75-84 years,All causes (total),59189
351,2016,Age,85 years and over,All causes (total),88432
352,2016,Age,Under 1 year,All causes (total),1981
353,2016,Gender,Female,Accidents (unintentional injuries),4319
354,2016,Gender,Female,Alzheimer's disease,10566
355,2016,Gender,Female,Assault (homicide),254
356,2016,Gender,Female,Cerebrovascular diseases,8961
357,2016,Gender,Female,Chronic liver disease and cirrhosis,1774
358,2016,Gender,Female,Chronic lower respiratory diseases,7238
359,2016,Gender,Female,Diabetes mellitus,3995
360,2016,Gender,Female,Diseases of heart,28282
361,2016,Gender,Female,Essential hypertension and hypertensive renal disease,2722
362,2016,Gender,Female,Influenza and pneumonia,2926
363,2016,Gender,Female,Intentional self-harm (suicide),918
364,2016,Gender,Female,Malignant neoplasms,28816
365,2016,Gender,Female,"Nephritis, nephrotic syndrome and nephrosis",1608
366,2016,Gender,Female,Parkinson's disease,1113
367,2016,Gender,Male,Accidents (unintentional injuries),8873
368,2016,Gender,Male,Alzheimer's disease,4847
369,2016,Gender,Male,Assault (homicide),1313
370,2016,Gender,Male,Cerebrovascular diseases,6599
371,2016,Gender,Male,Chronic liver disease and cirrhosis,3249
372,2016,Gender,Male,Chronic lower respiratory diseases,6389
373,2016,Gender,Male,Diabetes mellitus,4951
374,2016,Gender,Male,Diseases of heart,33570
375,2016,Gender,Male,Essential hypertension and hypertensive renal disease,2119
376,2016,Gender,Male,Influenza and pneumonia,2867
377,2016,Gender,Male,Intentional self-harm (suicide),2898
378,2016,Gender,Male,Malignant neoplasms,30942
379,2016,Gender,Male,"Nephritis, nephrotic syndrome and nephrosis",1681
380,2016,Gender,Male,Parkinson's disease,1770
381,2016,Place Type,Decedent's Home,All causes (total),93163
382,2016,Place Type,Emergency Room/Outpatient,All causes (total),16694
383,2016,Place Type,Hospice Facility,All causes (total),5129
384,2016,Place Type,Inpatient,All causes (total),82252
385,2016,Place Type,Nursing Home/Long Term Care Facility,All causes (total),42238
386,2016,Place Type,Other/Unknown,All causes (total),22620
387,2016,Race-Ethnicity,American Indian/Alaskan Native,Accidents (unintentional injuries),11
388,2016,Race-Ethnicity,American Indian/Alaskan Native,Alzheimer's disease,0
389,2016,Race-Ethnicity,American Indian/Alaskan Native,Assault (homicide),0
390,2016,Race-Ethnicity,American Indian/Alaskan Native,Cerebrovascular diseases,0
391,2016,Race-Ethnicity,American Indian/Alaskan Native,Chronic liver disease and cirrhosis,0
392,2016,Race-Ethnicity,American Indian/Alaskan Native,Chronic lower respiratory diseases,0
393,2016,Race-Ethnicity,American Indian/Alaskan Native,Diabetes mellitus,11
394,2016,Race-Ethnicity,American Indian/Alaskan Native,Diseases of heart,157
395,2016,Race-Ethnicity,American Indian/Alaskan Native,Essential hypertension and hypertensive renal disease,0
396,2016,Race-Ethnicity,American Indian/Alaskan Native,Influenza and pneumonia,0
397,2016,Race-Ethnicity,American Indian/Alaskan Native,Intentional self-harm (suicide),0
398,2016,Race-Ethnicity,American Indian/Alaskan Native,Malignant neoplasms,110
399,2016,Race-Ethnicity,American Indian/Alaskan Native,"Nephritis, nephrotic syndrome and nephrosis",0
400,2016,Race-Ethnicity,American Indian/Alaskan Native,Parkinson's disease,0
401,2016,Race-Ethnicity,Asian,Accidents (unintentional injuries),776
402,2016,Race-Ethnicity,Asian,Alzheimer's disease,1108
403,2016,Race-Ethnicity,Asian,Assault (homicide),55
404,2016,Race-Ethnicity,Asian,Cerebrovascular diseases,2044
405,2016,Race-Ethnicity,Asian,Chronic liver disease and cirrhosis,155
406,2016,Race-Ethnicity,Asian,Chronic lower respiratory diseases,775
407,2016,Race-Ethnicity,Asian,Diabetes mellitus,1054
408,2016,Race-Ethnicity,Asian,Diseases of heart,5399
409,2016,Race-Ethnicity,Asian,Essential hypertension and hypertensive renal disease,611
410,2016,Race-Ethnicity,Asian,Influenza and pneumonia,838
411,2016,Race-Ethnicity,Asian,Intentional self-harm (suicide),295
412,2016,Race-Ethnicity,Asian,Malignant neoplasms,6676
413,2016,Race-Ethnicity,Asian,"Nephritis, nephrotic syndrome and nephrosis",310
414,2016,Race-Ethnicity,Asian,Parkinson's disease,228
415,2016,Race-Ethnicity,Black,Accidents (unintentional injuries),928
416,2016,Race-Ethnicity,Black,Alzheimer's disease,778
417,2016,Race-Ethnicity,Black,Assault (homicide),507
418,2016,Race-Ethnicity,Black,Cerebrovascular diseases,1096
